 Al Density=2.6989 Thickness=0.2 microns  Wavelength (nm), Transmission
    15.000      0.82335E-02
    15.300      0.10148E-01
    15.600      0.12498E-01
    15.900      0.15274E-01
    16.200      0.18432E-01
    16.500      0.21985E-01
    16.800      0.25942E-01
    17.100      0.73294    
    17.400      0.73684    
    17.700      0.74063    
    18.000      0.74431    
    18.300      0.74797    
    18.600      0.75212    
    18.900      0.75633    
    19.200      0.76041    
    19.500      0.76400    
    19.800      0.76309    
    20.100      0.76035    
    20.400      0.75763    
    20.700      0.75464    
    21.000      0.75077    
    21.300      0.74594    
    21.600      0.74109    
    21.900      0.73625    
    22.200      0.73139    
    22.500      0.72654    
    22.800      0.72167    
    23.100      0.71663    
    23.400      0.71116    
    23.700      0.70494    
    24.000      0.69870    
    24.300      0.69244    
    24.600      0.68616    
    24.900      0.67987    
    25.200      0.67355    
    25.500      0.66722    
    25.800      0.66118    
    26.100      0.65619    
    26.400      0.65375    
    26.700      0.65182    
    27.000      0.64991    
    27.300      0.64801    
    27.600      0.64612    
    27.900      0.64425    
    28.200      0.64239    
    28.500      0.64054    
    28.800      0.63870    
    29.100      0.63688    
    29.400      0.63507    
    29.700      0.63327    
    30.000      0.63149    
    30.300      0.62993    
    30.600      0.62891    
    30.900      0.62800    
    31.200      0.62717    
    31.500      0.62633    
    31.800      0.62551    
    32.100      0.62469    
    32.400      0.62388    
    32.700      0.62307    
    33.000      0.62227    
    33.300      0.62147    
    33.600      0.62069    
    33.900      0.61990    
    34.200      0.61913    
    34.500      0.61836    
    34.800      0.61759    
    35.100      0.61683    
    35.400      0.61608    
    35.700      0.61533    
    36.000      0.61459    
    36.300      0.61385    
    36.600      0.61312    
    36.900      0.61239    
    37.200      0.61166    
    37.500      0.61095    
    37.800      0.61023    
    38.100      0.61036    
    38.400      0.61054    
    38.700      0.61091    
    39.000      0.61130    
    39.300      0.61168    
    39.600      0.61206    
    39.900      0.61244    
    40.200      0.61281    
    40.500      0.61318    
    40.800      0.61355    
    41.100      0.61392    
    41.400      0.61428    
    41.700      0.61464    
    42.000      0.61500    
    42.300      0.61535    
    42.600      0.61570    
    42.900      0.61605    
    43.200      0.61640    
    43.500      0.61674    
    43.800      0.61708    
    44.100      0.61742    
    44.400      0.61776    
    44.700      0.61809    
    45.000      0.61842    
    45.300      0.61875    
    45.600      0.61908    
    45.900      0.61940    
    46.200      0.61972    
    46.500      0.62004    
    46.800      0.62036    
    47.100      0.62068    
    47.400      0.62099    
    47.700      0.62130    
    48.000      0.62161    
    48.300      0.62250    
    48.600      0.62373    
    48.900      0.62496    
    49.200      0.62636    
    49.500      0.62776    
    49.800      0.62914    
    50.100      0.63051    
    50.400      0.63187    
    50.700      0.63322    
    51.000      0.63456    
    51.300      0.63588    
    51.600      0.63720    
    51.900      0.63850    
    52.200      0.63980    
    52.500      0.64108    
    52.800      0.64235    
    53.100      0.64328    
    53.400      0.64375    
    53.700      0.64422    
    54.000      0.64416    
    54.300      0.64371    
    54.600      0.64325    
    54.900      0.64280    
    55.200      0.64235    
    55.500      0.64191    
    55.800      0.64146    
    56.100      0.64102    
    56.400      0.64058    
    56.700      0.64014    
    57.000      0.63970    
    57.300      0.63927    
    57.600      0.63883    
    57.900      0.63840    
    58.200      0.63797    
    58.500      0.63755    
    58.800      0.63712    
    59.100      0.63670    
    59.400      0.63628    
    59.700      0.63586    
    60.000      0.63544    
