Wavelength(nm)	Absolute Efficiency
5	0.112780374
6	0.144057357
7	0.189477845
8	0.212830674
9	0.206158201
10	0.190467525
11	0.174686733
12	0.159715634
13	0.146505593
14	0.134663074
15	0.124248754
16	0.115269691
17	0.106478942
18	0.098490454
19	0.090960137
20	0.084035651
21	0.078229557
22	0.073315137
23	0.069193557
24	0.065482379
25	0.062179933
26	0.059036841
27	0.056082182
28	0.053330847
29	0.050808024
30	0.04853555
31	0.046472625
32	0.044588851
33	0.042864413
34	0.041298951
35	0.039833214
36	0.038442354
37	0.037096354
38	0.035758759
39	0.034358795
40	0.032757692
70  0.03
